Time,SystemID,DeviceName,DeviceID,Event
2025-03-24 13:27:30,0x83dfd3a93d25,GPU,,GPU changed from Unknown to Present
2025-03-24 13:27:30,0x83dfd3a93d25,Monitor,,Monitor changed from Unknown to Present
2025-03-24 13:27:30,0x83dfd3a93d25,USB Devices,,"USB Devices changed from Unknown to ACER HD User Facing, Camera DFU Device, USB Composite Device, USB Input Device, USB Root Hub (USB 3.0) (2), USB4 Root Router (1.0), USB4 Virtual power coordination device"
2025-03-24 13:27:42,0x83dfd3a93d25,USB Input Device,USB\VID_1A2C&PID_0043\5&52206AA&0&1,Device Creation
2025-03-24 13:27:51,0x83dfd3a93d25,USB Devices,,"USB Devices changed from ACER HD User Facing, Camera DFU Device, USB Composite Device, USB Input Device, USB Root Hub (USB 3.0) (2), USB4 Root Router (1.0), USB4 Virtual power coordination device to ACER HD User Facing, Camera DFU Device, USB Composite Device, USB Input Device (2), USB Root Hub (USB 3.0) (2), USB4 Root Router (1.0), USB4 Virtual power coordination device"
2025-03-24 13:54:19,0x83dfd3a93d25,Initial USB Devices,,"Connected: ACER HD User Facing, Camera DFU Device, USB Composite Device, USB Input Device (2), USB Root Hub (USB 3.0) (2), USB4 Root Router (1.0), USB4 Virtual power coordination device"
2025-03-24 13:54:19,0x83dfd3a93d25,Ethernet,,Ethernet changed from Unknown to Disconnected
2025-03-24 13:54:19,0x83dfd3a93d25,GPU,,GPU changed from Unknown to Present
2025-03-24 13:54:19,0x83dfd3a93d25,Monitor,,Monitor changed from Unknown to Present
2025-03-24 13:54:19,0x83dfd3a93d25,USB Devices,,"USB Devices changed from Unknown to ACER HD User Facing, Camera DFU Device, USB Composite Device, USB Input Device (2), USB Root Hub (USB 3.0) (2), USB4 Root Router (1.0), USB4 Virtual power coordination device"
2025-03-24 19:46:26,0x83dfd3a93d25,Initial USB Devices,,"Connected: ACER HD User Facing, Camera DFU Device, USB Composite Device (2), USB Input Device (3), USB Root Hub (USB 3.0) (2), USB4 Root Router (1.0), USB4 Virtual power coordination device"
2025-03-24 19:46:36,0x83dfd3a93d25,Ethernet,,Ethernet changed from Unknown to Disconnected
2025-03-24 19:46:36,0x83dfd3a93d25,GPU,,GPU changed from Unknown to Present
2025-03-24 19:46:36,0x83dfd3a93d25,Monitor,,Monitor changed from Unknown to Present
2025-03-24 19:46:36,0x83dfd3a93d25,USB Devices,,"USB Devices changed from Unknown to ACER HD User Facing, Camera DFU Device, USB Composite Device (2), USB Input Device (3), USB Root Hub (USB 3.0) (2), USB4 Root Router (1.0), USB4 Virtual power coordination device"
2025-03-24 19:50:40,0x83dfd3a93d25,Initial USB Devices,,"Connected: ACER HD User Facing, Camera DFU Device, USB Composite Device (2), USB Input Device (3), USB Root Hub (USB 3.0) (2), USB4 Root Router (1.0), USB4 Virtual power coordination device"
2025-03-24 19:50:50,0x83dfd3a93d25,Ethernet,,Ethernet changed from Unknown to Disconnected
2025-03-24 20:30:26,0x83dfd3a93d25,Initial USB Devices,,"Connected: ACER HD User Facing, Camera DFU Device, USB Composite Device (2), USB Input Device (3), USB Root Hub (USB 3.0) (2), USB4 Root Router (1.0), USB4 Virtual power coordination device"
2025-03-24 20:30:28,0x83dfd3a93d25,Ethernet,,Ethernet changed from Unknown to Disconnected
2025-03-24 20:30:28,0x83dfd3a93d25,GPU,,GPU changed from Unknown to Present
2025-03-24 20:30:28,0x83dfd3a93d25,Monitor,,Monitor changed from Unknown to Present
2025-03-24 20:30:28,0x83dfd3a93d25,USB Devices,,"USB Devices changed from Unknown to ACER HD User Facing, Camera DFU Device, USB Composite Device (2), USB Input Device (3), USB Root Hub (USB 3.0) (2), USB4 Root Router (1.0), USB4 Virtual power coordination device"
2025-03-24 20:33:49,0x83dfd3a93d25,Initial USB Devices,,"Connected: ACER HD User Facing, Camera DFU Device, USB Composite Device (2), USB Input Device (3), USB Root Hub (USB 3.0) (2), USB4 Root Router (1.0), USB4 Virtual power coordination device"
2025-03-24 20:33:49,0x83dfd3a93d25,Ethernet,,Ethernet changed from Unknown to Disconnected
2025-03-24 20:33:49,0x83dfd3a93d25,GPU,,GPU changed from Unknown to Present
2025-03-24 20:33:49,0x83dfd3a93d25,Monitor,,Monitor changed from Unknown to Present
2025-03-24 20:33:49,0x83dfd3a93d25,USB Devices,,"USB Devices changed from Unknown to ACER HD User Facing, Camera DFU Device, USB Composite Device (2), USB Input Device (3), USB Root Hub (USB 3.0) (2), USB4 Root Router (1.0), USB4 Virtual power coordination device"
2025-03-24 20:43:19,0x83dfd3a93d25,Initial USB Devices,,Initial Status
2025-03-24 20:43:21,0x83dfd3a93d25,Ethernet,,Ethernet changed from Unknown to Disconnected
2025-03-24 20:43:21,0x83dfd3a93d25,GPU,,GPU changed from Unknown to Present
2025-03-24 20:43:21,0x83dfd3a93d25,Monitor,,Monitor changed from Unknown to Present
2025-03-24 20:43:21,0x83dfd3a93d25,USB Devices,,"USB Devices changed from Unknown to ACER HD User Facing, Camera DFU Device, USB Composite Device (2), USB Input Device (3), USB Root Hub (USB 3.0) (2), USB4 Root Router (1.0), USB4 Virtual power coordination device"
2025-03-24 20:50:40,0x83dfd3a93d25,Initial USB Devices,,Initial Status
2025-03-24 20:50:40,0x83dfd3a93d25,Ethernet,,Ethernet changed from Unknown to Disconnected
2025-03-24 20:50:40,0x83dfd3a93d25,GPU,,GPU changed from Unknown to Present
2025-03-24 20:50:40,0x83dfd3a93d25,Monitor,,Monitor changed from Unknown to Present
2025-03-24 20:50:40,0x83dfd3a93d25,USB Devices,,"USB Devices changed from Unknown to ACER HD User Facing, Camera DFU Device, USB Composite Device (2), USB Input Device (3), USB Root Hub (USB 3.0) (2), USB4 Root Router (1.0), USB4 Virtual power coordination device"
2025-03-24 20:54:28,0x83dfd3a93d25,Initial Status,,Initial Status
2025-03-24 20:54:30,0x83dfd3a93d25,USB Devices,,"USB Devices changed from Unknown to ACER HD User Facing, Camera DFU Device, USB Composite Device (2), USB Input Device (3), USB Root Hub (USB 3.0) (2), USB4 Root Router (1.0), USB4 Virtual power coordination device"
2025-03-24 20:54:30,0x83dfd3a93d25,Ethernet,,Ethernet changed from Unknown to Connected
2025-03-24 20:56:35,0x83dfd3a93d25,Initial USB Devices,,Initial Status
2025-03-24 20:56:35,0x83dfd3a93d25,Ethernet,,Ethernet changed from Unknown to Disconnected
2025-03-24 20:56:35,0x83dfd3a93d25,GPU,,GPU changed from Unknown to Present
2025-03-24 20:56:35,0x83dfd3a93d25,Monitor,,Monitor changed from Unknown to Present
2025-03-24 20:56:35,0x83dfd3a93d25,USB Devices,,"USB Devices changed from Unknown to ACER HD User Facing, Camera DFU Device, USB Composite Device (2), USB Input Device (3), USB Root Hub (USB 3.0) (2), USB4 Root Router (1.0), USB4 Virtual power coordination device"
2025-03-24 21:04:17,0x83dfd3a93d25,Initial Status,,Initial Status
2025-03-24 21:04:17,0x83dfd3a93d25,USB Devices,,"USB Devices changed from Unknown to ACER HD User Facing, Camera DFU Device, USB Composite Device (2), USB Input Device (3), USB Root Hub (USB 3.0) (2), USB4 Root Router (1.0), USB4 Virtual power coordination device"
2025-03-24 21:04:17,0x83dfd3a93d25,Ethernet,,Ethernet changed from Unknown to Connected
2025-03-24 21:04:17,0x83dfd3a93d25,GPU,,GPU changed from Unknown to Present
2025-03-24 21:04:17,0x83dfd3a93d25,Monitor,,Monitor changed from Unknown to Present
2025-03-24 21:07:10,0x83dfd3a93d25,Initial Status,,Initial Status
2025-03-24 21:07:10,0x83dfd3a93d25,USB Devices,,"Anomaly USB Devices changed from Unknown to ACER HD User Facing, Camera DFU Device, USB Composite Device (2), USB Input Device (3), USB Root Hub (USB 3.0) (2), USB4 Root Router (1.0), USB4 Virtual power coordination device"
2025-03-24 21:07:10,0x83dfd3a93d25,Ethernet,,Anomaly Ethernet changed from Unknown to Connected
2025-03-24 21:07:10,0x83dfd3a93d25,GPU,,Anomaly GPU changed from Unknown to Present
2025-03-24 21:07:10,0x83dfd3a93d25,Monitor,,Anomaly Monitor changed from Unknown to Present
2025-03-24 21:15:58,0x83dfd3a93d25,Initial Status,,Initial Status
2025-03-24 21:16:00,0x83dfd3a93d25,Monitor,,Anomaly Monitor changed from Unknown to Present
2025-03-24 21:24:05,0x83dfd3a93d25,Initial Status,,Initial Status
2025-03-24 21:27:19,0x83dfd3a93d25,Initial Status,,Initial Status
